date,equity
2024-09-20,1772.2915025919312
2024-09-21,1736.20569000089
2024-09-22,1757.9385475250829
2024-09-23,1709.6162352854258
2024-09-24,1706.047434759485
2024-09-25,1752.1067415473312
2024-09-26,1719.6594867655185
2024-09-27,1680.5217809977216
2024-09-28,1691.8031326602757
2024-09-29,1702.980384307488
2024-09-30,1737.5613894037556
2024-10-01,1830.0083249942584
2024-10-02,1830.0083249942584
2024-10-03,1830.0083249942584
2024-10-04,1830.0083249942584
2024-10-05,1830.0083249942584
2024-10-06,1830.0083249942584
2024-10-07,1830.0083249942584
2024-10-08,1830.0083249942584
2024-10-09,1830.0083249942584
2024-10-10,1830.0083249942584
2024-10-11,1830.0083249942584
2024-10-12,1830.0083249942584
2024-10-13,1830.0083249942584
2024-10-14,1830.0083249942584
2024-10-15,1830.0083249942584
2024-10-16,1830.0083249942584
2024-10-17,1830.0083249942584
2024-10-18,1830.0083249942584
2024-10-19,1830.0083249942584
2024-10-20,1827.4001282867423
2024-10-21,1878.4800397275735
2024-10-22,1907.306211152097
2024-10-23,1975.2847764123032
2024-10-24,1975.2847764123032
2024-10-25,1975.2847764123032
2024-10-26,1975.2847764123032
2024-10-27,1975.2847764123032
2024-10-28,1975.2847764123032
2024-10-29,1975.2847764123032
2024-10-30,1975.2847764123032
2024-10-31,1975.2847764123032
2024-11-01,1975.2847764123032
2024-11-02,1975.2847764123032
2024-11-03,1975.2847764123032
2024-11-04,1975.2847764123032
2024-11-05,1975.2847764123032
2024-11-06,1975.2847764123032
2024-11-07,1972.469526241099
2024-11-08,1929.214879332808
2024-11-09,1819.736136294697
2024-11-10,1780.7118330801695
2024-11-11,1661.7447349678112
2024-11-12,1745.0985254468878
2024-11-13,1779.8918517774568
2024-11-14,1866.5469376364706
2024-11-15,1837.958400325676
2024-11-16,1818.3554650741833
2024-11-17,1855.7105206367598
2024-11-18,1769.9971468954755
2024-11-19,1832.5485815959062
2024-11-20,1857.9627781608904
2024-11-21,1670.6659099247572
2024-11-22,1689.762926210329
2024-11-23,1647.8625148319043
2024-11-24,1668.976241889013
2024-11-25,1636.6320952332649
2024-11-26,1693.058997771156
2024-11-27,1472.9563282569227
2024-11-28,1502.6420917520106
2024-11-29,1497.396766105835
2024-11-30,1454.3806970150574
2024-12-01,1452.2877142793018
2024-12-02,1477.959345970224
2024-12-03,1486.9630183373108
2024-12-04,1402.3885649972076
2024-12-05,1414.0127943826353
2024-12-06,1339.3353425789069
2024-12-07,1340.5305973532365
2024-12-08,1339.3759612126912
2024-12-09,1449.4028553673968
2024-12-10,1480.6102804391471
2024-12-11,1480.6102804391471
2024-12-12,1480.6102804391471
2024-12-13,1480.6102804391471
2024-12-14,1480.6102804391471
2024-12-15,1480.6102804391471
2024-12-16,1480.6102804391471
2024-12-17,1480.6102804391471
2024-12-18,1480.6102804391471
2024-12-19,1478.5007622587284
2024-12-20,1500.9695529049027
2024-12-21,1441.1899837817086
2024-12-22,1416.679977860246
2024-12-23,1473.4511303239108
2024-12-24,1504.7683851381914
2024-12-25,1505.2552187261667
2024-12-26,1438.7275442043094
2024-12-27,1437.7794418069695
2024-12-28,1466.10762260447
2024-12-29,1446.2371728577032
2024-12-30,1449.062030767172
2024-12-31,1439.2638030309322
2025-01-01,1447.875925293668
2025-01-02,1488.07288038681
2025-01-03,1548.9345180398097
2025-01-04,1548.9345180398097
2025-01-05,1548.9345180398097
2025-01-06,1548.9345180398097
2025-01-07,1548.9345180398097
2025-01-08,1548.9345180398097
2025-01-09,1548.9345180398097
2025-01-10,1548.9345180398097
2025-01-11,1548.9345180398097
2025-01-12,1548.9345180398097
2025-01-13,1548.9345180398097
2025-01-14,1548.9345180398097
2025-01-15,1548.9345180398097
2025-01-16,1548.9345180398097
2025-01-17,1548.9345180398097
2025-01-18,1548.9345180398097
2025-01-19,1548.9345180398097
2025-01-20,1548.9345180398097
2025-01-21,1548.9345180398097
2025-01-22,1548.9345180398097
2025-01-23,1548.9345180398097
2025-01-24,1548.9345180398097
2025-01-25,1548.9345180398097
2025-01-26,1548.9345180398097
2025-01-27,1548.9345180398097
2025-01-28,1546.727654039707
2025-01-29,1563.8801365678628
2025-01-30,1628.3007538977765
2025-01-31,1650.0669782346497
2025-02-01,1650.0669782346497
2025-02-02,1647.7160244857255
2025-02-03,1656.385730460327
2025-02-04,1574.725631344136
2025-02-05,1603.523712035205
2025-02-06,1544.8409066552022
2025-02-07,1508.6744595488667
2025-02-08,1514.191612615757
2025-02-09,1512.2315678841012
2025-02-10,1529.960014403046
2025-02-11,1498.0582287018901
2025-02-12,1571.3422642020246
2025-02-13,1538.011765571172
2025-02-14,1565.4353166271442
2025-02-15,1547.6597799434767
2025-02-16,1531.1343337233186
2025-02-17,1574.7833146242024
2025-02-18,1534.4253092579233
2025-02-19,1559.7961026516944
2025-02-20,1571.0008508778444
2025-02-21,1571.0008508778444
2025-02-22,1571.0008508778444
2025-02-23,1568.761801365992
2025-02-24,1727.0419389129731
2025-02-25,1713.8270516964521
2025-02-26,1607.9055607823236
2025-02-27,1590.9412162649928
2025-02-28,1546.7936651699513
2025-03-01,1532.9038150329734
2025-03-02,1730.878796894409
2025-03-03,1482.2595444590984
2025-03-04,1498.315210806522
2025-03-05,1545.587938534419
2025-03-06,1519.6396363397048
2025-03-07,1477.93284942338
2025-03-08,1519.004697291354
2025-03-09,1396.8185440086852
2025-03-10,1295.4192270472588
2025-03-11,1333.9756962755928
2025-03-12,1326.8401296832146
2025-03-13,1296.613646992344
2025-03-14,1327.1586416685707
2025-03-15,1345.5042744726443
2025-03-16,1312.685271014764
2025-03-17,1338.677837714996
2025-03-18,1342.31747064333
2025-03-19,1424.566374769204
2025-03-20,1374.871608771998
2025-03-21,1363.53837176234
2025-03-22,1373.517050751697
2025-03-23,1390.1115091508848
2025-03-24,1435.4808188252105
2025-03-25,1435.4808188252105
2025-03-26,1435.4808188252105
2025-03-27,1435.4808188252105
2025-03-28,1435.4808188252105
2025-03-29,1435.4808188252105
2025-03-30,1435.4808188252105
2025-03-31,1435.4808188252105
2025-04-01,1435.4808188252105
2025-04-02,1435.4808188252105
2025-04-03,1435.4808188252105
2025-04-04,1435.4808188252105
2025-04-05,1435.4808188252105
2025-04-06,1433.435599414701
2025-04-07,1414.860800277836
2025-04-08,1343.380082728152
2025-04-09,1512.3715838300063
2025-04-10,1386.57365062252
2025-04-11,1425.1555457039483
2025-04-12,1491.182286372392
2025-04-13,1450.6883758294823
2025-04-14,1473.2371575406573
2025-04-15,1443.7265459249454
2025-04-16,1434.6262429630146
2025-04-17,1438.4670524310611
2025-04-18,1443.979173830171
2025-04-19,1464.7247368093085
2025-04-20,1442.7599328874064
2025-04-21,1436.034585495656
2025-04-22,1587.2830502265463
2025-04-23,1587.2830502265463
2025-04-24,1587.2830502265463
2025-04-25,1587.2830502265463
2025-04-26,1587.2830502265463
2025-04-27,1587.2830502265463
2025-04-28,1587.2830502265463
2025-04-29,1587.2830502265463
2025-04-30,1587.2830502265463
2025-05-01,1587.2830502265463
2025-05-02,1587.2830502265463
2025-05-03,1587.2830502265463
2025-05-04,1587.2830502265463
2025-05-05,1587.2830502265463
2025-05-06,1587.2830502265463
2025-05-07,1587.2830502265463
2025-05-08,1585.0207947116648
2025-05-09,1489.9865152574578
2025-05-10,1327.999035670165
2025-05-11,1377.354383284919
2025-05-12,1386.8173479546435
2025-05-13,1256.649984145346
2025-05-14,1287.9200353652109
2025-05-15,1316.1284780063452
2025-05-16,1320.8410169806386
2025-05-17,1347.8609466363719
2025-05-18,1337.8286462026695
2025-05-19,1324.023459892043
2025-05-20,1326.2520851765496
2025-05-21,1313.6782323136697
2025-05-22,1263.7784470676868
2025-05-23,1325.2395392310661
2025-05-24,1323.3631749001536
2025-05-25,1313.9385327832447
2025-05-26,1308.415891677813
2025-05-27,1264.2636366830143
2025-05-28,1255.7202462186472
2025-05-29,1277.83761428856
2025-05-30,1321.9825522333997
2025-05-31,1321.9825522333997
2025-06-01,1321.9825522333997
2025-06-02,1321.9825522333997
2025-06-03,1321.9825522333997
2025-06-04,1321.9825522333997
2025-06-05,1320.0990409104163
2025-06-06,1351.741243912964
2025-06-07,1377.357979229227
2025-06-08,1369.192372161399
2025-06-09,1455.7974042774752
2025-06-10,1453.7225470515339
2025-06-11,1473.3889463494336
2025-06-12,1533.2582868368604
2025-06-13,1566.916650448649
2025-06-14,1566.916650448649
2025-06-15,1566.916650448649
2025-06-16,1566.916650448649
2025-06-17,1566.916650448649
2025-06-18,1566.916650448649
2025-06-19,1566.916650448649
2025-06-20,1566.916650448649
2025-06-21,1564.6841661784858
2025-06-22,1517.936063561681
2025-06-23,1643.1529380423433
2025-06-24,1660.0871231733422
2025-06-25,1641.5266095278648
2025-06-26,1639.4805935190677
2025-06-27,1644.4735799544885
2025-06-28,1653.0380153868982
2025-06-29,1691.9074601422324
2025-06-30,1691.9074601422324
2025-07-01,1691.9074601422324
2025-07-02,1691.9074601422324
2025-07-03,1691.9074601422324
2025-07-04,1691.9074601422324
2025-07-05,1691.9074601422324
2025-07-06,1691.9074601422324
2025-07-07,1691.9074601422324
2025-07-08,1691.9074601422324
2025-07-09,1689.4960899824932
2025-07-10,1582.6661069455881
2025-07-11,1580.9011488537642
2025-07-12,1589.5921788409273
2025-07-13,1571.921060219578
2025-07-14,1548.7103593406946
2025-07-15,1475.2692005524377
2025-07-16,1335.9992258687018
2025-07-17,1296.291198826648
2025-07-18,1269.0471516376083
2025-07-19,1251.6000661014214
2025-07-20,1189.668851842147
2025-07-21,1188.1979079230302
2025-07-22,1193.563529008733
2025-07-23,1238.6139720615165
2025-07-24,1209.0804495587795
2025-07-25,1201.8156035869004
2025-07-26,1196.4864476190123
2025-07-27,1146.0014128410232
2025-07-28,1179.1251840267728
2025-07-29,1176.8511787630575
2025-07-30,1171.2890512091317
2025-07-31,1213.341711659759
2025-08-01,1289.9486933793933
2025-08-02,1289.9486933793933
2025-08-03,1289.9486933793933
2025-08-04,1289.9486933793933
2025-08-05,1289.9486933793933
2025-08-06,1289.9486933793933
2025-08-07,1289.9486933793933
2025-08-08,1288.110209975255
2025-08-09,1210.5227191037352
2025-08-10,1213.3911901395245
2025-08-11,1221.7235363898449
2025-08-12,1106.7526225976644
2025-08-13,1068.8108495285378
2025-08-14,1116.5640239007935
2025-08-15,1141.3866932918525
2025-08-16,1144.5552395679604
2025-08-17,1133.7495780224629
2025-08-18,1170.6393892462438
2025-08-19,1225.4901408895653
2025-08-20,1165.5922356359242
2025-08-21,1191.129172442478
2025-08-22,1051.584512137968
2025-08-23,1064.2641872978284
2025-08-24,1063.4479617100828
2025-08-25,1156.7608652478275
2025-08-26,1104.5722862987584
2025-08-27,1126.837822321373
2025-08-28,1125.969385186079
2025-08-29,1158.2047661505324
2025-08-30,1158.2047661505324
2025-08-31,1158.2047661505324
2025-09-01,1158.2047661505324
2025-09-02,1158.2047661505324
2025-09-03,1158.2047661505324
2025-09-04,1158.2047661505324
2025-09-05,1158.2047661505324
2025-09-06,1158.2047661505324
2025-09-07,1158.2047661505324
2025-09-08,1158.2047661505324
2025-09-09,1158.2047661505324
2025-09-10,1158.2047661505324
2025-09-11,1158.2047661505324
2025-09-12,1156.5540491475303
2025-09-13,1167.5424078927108
2025-09-14,1181.2192620799024
2025-09-15,1200.544875007873
2025-09-16,1205.974304320632
2025-09-17,1185.156476105351
2025-09-18,1185.813552416738
2025-09-19,1213.596343934088
2025-09-20,1210.9468353238767
2025-09-21,1218.1694309062607
2025-09-22,1274.7018710399852
2025-09-23,1274.7018710399852
2025-09-24,1274.7018710399852
2025-09-25,1272.8857234641525
2025-09-26,1325.3116188028637
2025-09-27,1319.920612944299
2025-09-28,1358.3492042077146
2025-09-29,1382.0866494702634
2025-09-30,1359.7512492040744
2025-10-01,1421.9006082450016
2025-10-02,1421.9006082450016
2025-10-03,1421.9006082450016
2025-10-04,1421.9006082450016
2025-10-05,1421.9006082450016
2025-10-06,1421.9006082450016
2025-10-07,1421.9006082450016
2025-10-08,1421.9006082450016
2025-10-09,1421.9006082450016
2025-10-10,1421.9006082450016
2025-10-11,1421.9006082450016
2025-10-12,1421.9006082450016
2025-10-13,1421.9006082450016
2025-10-14,1421.9006082450016
2025-10-15,1421.9006082450016
2025-10-16,1421.9006082450016
2025-10-17,1421.9006082450016
2025-10-18,1421.9006082450016
2025-10-19,1421.9006082450016
2025-10-20,1421.9006082450016
2025-10-21,1421.9006082450016
2025-10-22,1421.9006082450016
2025-10-23,1421.9006082450016
2025-10-24,1421.9006082450016
2025-10-25,1421.9006082450016
2025-10-26,1421.9006082450016
2025-10-27,1421.9006082450016
2025-10-28,1421.9006082450016
2025-10-29,1421.9006082450016
2025-10-30,1421.9006082450016
2025-10-31,1421.9006082450016
2025-11-01,1421.9006082450016
2025-11-02,1421.9006082450016
2025-11-03,1419.874737410881
2025-11-04,1303.7878205307481
2025-11-05,1353.4845199442834
2025-11-06,1311.1650603778849
2025-11-07,1357.281159063857
2025-11-08,1344.1913919768913
2025-11-09,1412.496216522877
2025-11-10,1407.1885897000948
2025-11-11,1349.778194205868
2025-11-12,1348.958145044834
2025-11-13,1281.3685073145862
2025-11-14,1233.030534746866
2025-11-15,1256.584850171627
2025-11-16,1228.93092946213
2025-11-17,1203.3291447194383
2025-11-18,1240.2241282353555
2025-11-19,1202.77893766685
2025-11-20,1131.0830149387714
2025-11-21,1106.317109362119
2025-11-22,1107.0322961778568
2025-11-23,1119.8010710245962
2025-11-24,1176.409260427015
2025-11-25,1178.3667823754638
2025-11-26,1204.5559243559014
2025-11-27,1199.5824661936967
2025-11-28,1206.239669570383
2025-11-29,1191.0157799010926
2025-11-30,1191.1759100095294
2025-12-01,1119.2437267443174
2025-12-02,1191.6750399753332
2025-12-03,1191.6750399753332
2025-12-04,1191.6750399753332
2025-12-05,1191.6750399753332
2025-12-06,1191.6750399753332
