date,equity
2024-08-16,3236.5595702287483
2024-08-17,3212.713649577618
2024-08-18,3211.3235760606844
2024-08-19,3239.306471959954
2024-08-20,3164.294134162615
2024-08-21,3232.4000344638557
2024-08-22,3222.5337359351897
2024-08-23,3387.86091588907
2024-08-24,3393.6360109743
2024-08-25,3369.9964886372786
2024-08-26,3290.7571634863743
2024-08-27,3030.6491058780834
2024-08-28,3103.2179411032907
2024-08-29,3103.6581492591595
2024-08-30,3100.191189491775
2024-08-31,3085.686829373555
2024-09-01,2985.914007001393
2024-09-02,3105.748963651853
2024-09-03,2968.9399289177377
2024-09-04,3001.9524067316556
2024-09-05,2907.429806080065
2024-09-06,2740.0466554718055
2024-09-07,2798.4903620536697
2024-09-08,2825.467155513404
2024-09-09,2896.661131669905
2024-09-10,2924.503130079959
2024-09-11,2866.6192711363346
2024-09-12,2892.151947490616
2024-09-13,2976.5404335577
2024-09-14,2949.8653269792853
2024-09-15,2836.61237037429
2024-09-16,2806.920943325739
2024-09-17,2852.595635863635
2024-09-18,2885.0535488159007
2024-09-19,2995.1220009153676
2024-09-20,3106.6923826657985
2024-09-21,3170.151809078245
2024-09-22,3131.9330584457293
2024-09-23,3208.0167818923915
2024-09-24,3214.745064749811
2024-09-25,3127.909153907304
2024-09-26,3189.0821745151843
2024-09-27,3262.8687459086004
2024-09-28,3241.599940199805
2024-09-29,3220.527394927419
2024-09-30,3155.331600965185
2024-10-01,2968.294234165034
2024-10-02,3064.8466398147907
2024-10-03,3082.660242066049
2024-10-04,3007.666734175977
2024-10-05,3006.700060927506
2024-10-06,2978.635271940201
2024-10-07,2999.5877456019966
2024-10-08,2978.7701893312324
2024-10-09,3061.3258310718156
2024-10-10,3043.3575949005663
2024-10-11,2982.608997519873
2024-10-12,2936.449786575971
2024-10-13,2946.655625295408
2024-10-14,2752.17524451902
2024-10-15,2729.400974010517
2024-10-16,2734.4580344615024
2024-10-17,2727.6603614119995
2024-10-18,2764.770260897906
2024-10-19,2771.842805889454
2024-10-20,2869.107129657617
2024-10-21,2788.8207052063
2024-10-22,2735.6965156087126
2024-10-23,2846.1050953811996
2024-10-24,2820.8631988976804
2024-10-25,2918.815450964987
2024-10-26,2875.417498485479
2024-10-27,2849.2436823542075
2024-10-28,2790.205201842234
2024-10-29,2718.0468163700416
2024-10-30,2698.7523675109305
2024-10-31,2839.446273529453
2024-11-01,2843.335782478455
2024-11-02,2864.0233796368093
2024-11-03,2898.4515145226183
2024-11-04,2957.4815031867206
2024-11-05,2932.016392416315
2024-11-06,2624.563679685235
2024-11-07,2781.600239480558
2024-11-08,2842.7151796796293
2024-11-09,2997.3988336239
2024-11-10,3052.5366772484917
2024-11-11,3220.6265266977134
2024-11-12,3102.855089762962
2024-11-13,3053.695237353858
2024-11-14,2931.259365863622
2024-11-15,2971.6524073750356
2024-11-16,2999.3495983418543
2024-11-17,2946.570252074615
2024-11-18,3067.675568725696
2024-11-19,2979.295996487176
2024-11-20,2934.9787046147744
2024-11-21,2672.306713222296
2024-11-22,2690.7029457651047
2024-11-23,2641.025739654673
2024-11-24,2666.0582139495546
2024-11-25,2627.7109331705647
2024-11-26,2694.610774373352
2024-11-27,2440.3676928555724
2024-11-28,2499.8962980379238
2024-11-29,2489.3778918161765
2024-11-30,2403.118139937962
2024-12-01,2398.9210997321106
2024-12-02,2450.4002010720005
2024-12-03,2468.455187517616
2024-12-04,2298.8587665857694
2024-12-05,2322.1687333901846
2024-12-06,2172.418684172694
2024-12-07,2174.8155182499167
2024-12-08,2172.500136368256
2024-12-09,2385.442018282458
2024-12-10,2438.4745465496653
2024-12-11,2315.756114913833
2024-12-12,2285.0566812034062
2024-12-13,2267.8972264329173
2024-12-14,2294.0298687614086
2024-12-15,2243.024938626369
2024-12-16,2221.3252262533542
2024-12-17,2282.8191978947875
2024-12-18,2446.4379598283485
2024-12-19,2569.080069581835
2024-12-20,2535.727108864298
2024-12-21,2618.3568755332094
2024-12-22,2654.8004252872283
2024-12-23,2570.388274346421
2024-12-24,2517.0325367546407
2024-12-25,2517.845091910971
2024-12-26,2406.8063174578683
2024-12-27,2405.2238763307237
